model,dataset,seed,n_train,n_test,n_features,fit_time_sec,predict_time_sec,total_time_sec,tuning_time_sec,total_wall_time_sec,throughput_rows_per_sec,ms_per_test_row,peak_memory_mb,memory_delta_mb,gpu_memory_mb,error,roc_auc,avg_precision,f1_macro,brier_score,log_loss_val,sensitivity,specificity,ppv,ece_10,ece_15,max_calibration_error,pr_auc,optimal_threshold,optimal_tpr,optimal_fpr,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,balanced_accuracy,matthews_corrcoef,demographic_parity,tpr_overall,fpr_overall,f1_weighted,accuracy
MLP,credit-g,1,800,200,20,14.204649603999314,0.0024976200002129,14.207147223999527,14.089696047999496,28.296843271999023,80076.20050558122,0.0124881000010645,2583.515625,0.01953125,210.93603515625,,0.7064285714285714,0.8475607879233578,0.4918699186991869,0.1903505474328994,0.5619147419929504,0.9571428571428572,0.1,0.7127659574468085,0.0484394225478172,0.0857732003927231,0.6340958178043365,0.8464943927051065,0.1666666666666666,0.5142857142857142,0.1666666666666666,0.5,0.7127659574468085,0.1,0.9571428571428572,0.1666666666666666,0.8170731707317073,0.5285714285714286,0.1102635692839942,0.94,0.9571428571428572,0.9,0.621951219512195,0.7
SAP-RPT-1,credit-g,1,800,200,20,3.426919823000389,0.6460494109996944,4.072969234000084,0.0,4.072969234000084,309.57384417539663,3.230247054998472,3014.203125,430.6875,595.490234375,,0.7756547619047619,0.889175770178499,0.6618927625913049,0.1691180169582367,0.5037455558776855,0.8571428571428571,0.45,0.7843137254901961,0.0464180330187082,0.0706589895486831,0.4518812298774719,0.8886198073916475,0.3333333333333333,0.75,0.3333333333333333,0.574468085106383,0.7843137254901961,0.45,0.8571428571428571,0.5046728971962616,0.8191126279863481,0.6535714285714286,0.3319597421337724,0.765,0.8571428571428571,0.55,0.7247807087493221,0.735
TabPFN,credit-g,2,800,200,20,0.7429123319998325,0.7861366330007513,1.5290489650005838,0.0,1.5290489650005838,254.4087011721793,3.930683165003756,2572.26953125,-369.0078125,210.93603515625,,0.7791666666666667,0.8901270338481175,0.6978199870494279,0.1684439331293106,0.5046548247337341,0.85,0.5333333333333333,0.8095238095238095,0.0422572139650583,0.0498318819701671,0.2470787221735174,0.8895280810642778,0.25,0.6714285714285714,0.25,0.6037735849056604,0.8095238095238095,0.5333333333333333,0.85,0.5663716814159292,0.8292682926829268,0.6916666666666667,0.3980335009325598,0.735,0.85,0.4666666666666667,0.7503993093028275,0.755
XGBoost,credit-g,2,800,200,20,8.161029546999998,0.00423978300023,8.165269330000228,8.066347592000056,16.231616922000285,47172.21443100547,0.0211989150011504,2572.26953125,0.0,210.93603515625,,0.785952380952381,0.8910790325002599,0.6514812048792631,0.1655232459306717,0.4997536540031433,0.9285714285714286,0.35,0.7692307692307693,0.0338255026191473,0.0776161805540323,0.3842845658461252,0.8904420148657678,0.2833333333333333,0.7285714285714285,0.2833333333333333,0.6774193548387096,0.7692307692307693,0.35,0.9285714285714286,0.4615384615384615,0.8414239482200647,0.6392857142857142,0.3527378107513292,0.845,0.9285714285714286,0.65,0.7274583022155838,0.755
LightGBM,credit-g,2,800,200,20,227.8167395720002,0.0023784650002198,227.8191180370004,227.75190741499955,455.571025452,84087.81121172685,0.0118923250010993,2572.26953125,0.0,210.93603515625,,0.756547619047619,0.8550060758445863,0.7094430992736077,0.1756367438980228,0.5561406228041113,0.8928571428571429,0.5,0.8064516129032258,0.0735898896870032,0.0938704941864052,0.4187810793434312,0.8525529460645475,0.4,0.85,0.4,0.6666666666666666,0.8064516129032258,0.5,0.8928571428571429,0.5714285714285714,0.847457627118644,0.6964285714285714,0.4311239909182913,0.775,0.8928571428571429,0.5,0.7646489104116222,0.775
CatBoost,credit-g,2,800,200,20,126.50432692100004,0.0023427439991792,126.5066696649992,124.27726326899938,250.78393293399856,85369.93999349907,0.0117137199958961,2572.44140625,0.171875,210.93603515625,,0.7780952380952381,0.8724067286176258,0.6710526315789473,0.1671335476325717,0.5088213420919491,0.9142857142857144,0.4,0.7804878048780488,0.0608478858999491,0.0858277479391119,0.2473463993632822,0.8710293421564306,0.2833333333333333,0.7357142857142858,0.2833333333333333,0.6666666666666666,0.7804878048780488,0.4,0.9142857142857144,0.5,0.8421052631578947,0.6571428571428571,0.3748789971250483,0.82,0.9142857142857144,0.6,0.7394736842105263,0.76
MLP,credit-g,2,800,200,20,9.98416885900042,0.003398197000024,9.987567056000444,9.819578755000292,19.807145811000737,58854.72241422736,0.0169909850001204,2572.44921875,0.0078125,210.93603515625,,0.7227380952380953,0.8740425214806764,0.5849069443026778,0.1963464319705963,0.5785105228424072,0.8642857142857143,0.3,0.7423312883435583,0.1047300517559051,0.1190517151355743,0.3962284326553345,0.8734784556141031,0.2333333333333333,0.6214285714285714,0.2333333333333333,0.4864864864864865,0.7423312883435583,0.3,0.8642857142857143,0.3711340206185567,0.7986798679867987,0.5821428571428572,0.19388525364045,0.815,0.8642857142857143,0.7,0.670416113776326,0.695
SAP-RPT-1,credit-g,2,800,200,20,3.5716564819995256,0.636342988999786,4.207999470999312,0.0,4.207999470999312,314.295911392168,3.18171494499893,3005.65625,433.20703125,595.490234375,,0.7756547619047619,0.889175770178499,0.6618927625913049,0.1691180169582367,0.5037455558776855,0.8571428571428571,0.45,0.7843137254901961,0.0464180330187082,0.0706589895486831,0.4518812298774719,0.8886198073916475,0.3333333333333333,0.75,0.3333333333333333,0.574468085106383,0.7843137254901961,0.45,0.8571428571428571,0.5046728971962616,0.8191126279863481,0.6535714285714286,0.3319597421337724,0.765,0.8571428571428571,0.55,0.7247807087493221,0.735
TabPFN,credit-g,3,800,200,20,0.7025609709999117,0.776999134000107,1.4795601050000189,0.0,1.4795601050000189,257.40054395295107,3.884995670000535,2572.75,0.0,210.93603515625,,0.7791666666666667,0.8901270338481175,0.6978199870494279,0.1684439331293106,0.5046548247337341,0.85,0.5333333333333333,0.8095238095238095,0.0422572139650583,0.0498318819701671,0.2470787221735174,0.8895280810642778,0.25,0.6714285714285714,0.25,0.6037735849056604,0.8095238095238095,0.5333333333333333,0.85,0.5663716814159292,0.8292682926829268,0.6916666666666667,0.3980335009325598,0.735,0.85,0.4666666666666667,0.7503993093028275,0.755
XGBoost,credit-g,3,800,200,20,8.242528335000316,0.0040138590002243,8.24654219400054,8.11991135199969,16.36645354600023,49827.34823556932,0.0200692950011216,2572.75,0.0,210.93603515625,,0.7789285714285715,0.885691860297931,0.6372559479355595,0.1691984981298446,0.5100332498550415,0.9214285714285714,0.3333333333333333,0.7633136094674556,0.0588031259179115,0.0644558256864547,0.1262605881690979,0.8848929780721938,0.15,0.5857142857142857,0.15,0.6451612903225806,0.7633136094674556,0.3333333333333333,0.9214285714285714,0.4395604395604395,0.8349514563106796,0.6273809523809524,0.3225892799178823,0.845,0.9214285714285714,0.6666666666666666,0.7163341512856075,0.745
LightGBM,credit-g,3,800,200,20,395.7725746599999,0.0031165399996098,395.7756911999995,395.46202014200026,791.2377113419998,64173.71054160358,0.015582699998049,2573.30859375,0.55859375,210.93603515625,,0.7571428571428572,0.8614585887628026,0.7104882221344914,0.1752807765660804,0.5685186575836767,0.9071428571428573,0.4833333333333333,0.8037974683544303,0.0998289409052154,0.1117339422213901,0.3965602095677509,0.8601335643456209,0.4,0.8214285714285714,0.4,0.6904761904761905,0.8037974683544303,0.4833333333333333,0.9071428571428573,0.5686274509803921,0.8523489932885906,0.6952380952380952,0.4393200375044474,0.79,0.9071428571428573,0.5166666666666667,0.767232530596131,0.78
CatBoost,credit-g,3,800,200,20,125.79532235100032,0.0022906240001248,125.79761297500043,123.1204829569997,248.9180959320001,87312.41472921264,0.011453120000624,2573.4140625,0.10546875,210.93603515625,,0.7835714285714286,0.876199407734666,0.7152223583562369,0.1656003530665684,0.5050810540775653,0.9142857142857144,0.4833333333333333,0.8050314465408805,0.0545042252173931,0.0984131343844337,0.2756795127278734,0.8748910800687282,0.25,0.7,0.25,0.7073170731707317,0.8050314465408805,0.4833333333333333,0.9142857142857144,0.5742574257425742,0.8561872909698997,0.6988095238095238,0.4513529998313516,0.795,0.9142857142857144,0.5166666666666667,0.7716083314017019,0.785
MLP,credit-g,3,800,200,20,18.96621522499936,0.003526788000272,18.96974201299963,18.77282140100033,37.74256341399996,56708.80792260938,0.0176339400013603,2573.44140625,0.02734375,210.93603515625,,0.623095238095238,0.7925365752704843,0.4117647058823529,0.2068714946508407,0.6037994623184204,1.0,0.0,0.7,0.0687492778897285,0.0687493246793746,0.421018123626709,0.7907383559472771,0.2,0.4214285714285714,0.2,0.0,0.7,0.0,1.0,0.0,0.8235294117647058,0.5,0.0,1.0,1.0,1.0,0.5764705882352941,0.7
SAP-RPT-1,credit-g,3,800,200,20,3.566302309999628,0.6281002529995021,4.19440256299913,0.0,4.19440256299913,318.42050488990657,3.1405012649975106,3010.78125,437.33984375,595.490234375,,0.7756547619047619,0.889175770178499,0.6618927625913049,0.1691180169582367,0.5037455558776855,0.8571428571428571,0.45,0.7843137254901961,0.0464180330187082,0.0706589895486831,0.4518812298774719,0.8886198073916475,0.3333333333333333,0.75,0.3333333333333333,0.574468085106383,0.7843137254901961,0.45,0.8571428571428571,0.5046728971962616,0.8191126279863481,0.6535714285714286,0.3319597421337724,0.765,0.8571428571428571,0.55,0.7247807087493221,0.735
TabPFN,credit-g,4,800,200,20,0.7210185769999953,0.7854320630003713,1.5064506400003663,0.0,1.5064506400003663,254.6369179039595,3.927160315001856,2573.34765625,0.0,210.93603515625,,0.7791666666666667,0.8901270338481175,0.6978199870494279,0.1684439331293106,0.5046548247337341,0.85,0.5333333333333333,0.8095238095238095,0.0422572139650583,0.0498318819701671,0.2470787221735174,0.8895280810642778,0.25,0.6714285714285714,0.25,0.6037735849056604,0.8095238095238095,0.5333333333333333,0.85,0.5663716814159292,0.8292682926829268,0.6916666666666667,0.3980335009325598,0.735,0.85,0.4666666666666667,0.7503993093028275,0.755
XGBoost,credit-g,4,800,200,20,9.739846258999933,0.0041759030000321,9.744022161999965,9.557382072999644,19.30140423499961,47893.82131353152,0.0208795150001606,2573.34765625,0.0,210.93603515625,,0.7611904761904761,0.8730253639464949,0.6523432067862607,0.1717638969421386,0.5177571177482605,0.9142857142857144,0.3666666666666666,0.7710843373493976,0.0614187178015708,0.0987904931604862,0.2542857825756073,0.8721599493925039,0.3333333333333333,0.8,0.3333333333333333,0.6470588235294118,0.7710843373493976,0.3666666666666666,0.9142857142857144,0.4680851063829787,0.8366013071895425,0.6404761904761904,0.3427511001118099,0.83,0.9142857142857144,0.6333333333333333,0.7260464469475734,0.75
LightGBM,credit-g,4,800,200,20,201.82846794099987,0.0032605070000499,201.83172844799992,201.64914056999987,403.4808690179998,61340.13472653157,0.0163025350002499,2573.35546875,0.0078125,210.93603515625,,0.73,0.8480535731589472,0.6393797331410025,0.2361468561549974,1.039494588681961,0.7928571428571428,0.4833333333333333,0.7816901408450704,0.2118533891008958,0.2059365772709277,0.6956332123373345,0.8465391903530135,0.2666666666666666,0.6571428571428571,0.2666666666666666,0.5,0.7816901408450704,0.4833333333333333,0.7928571428571428,0.4915254237288136,0.7872340425531915,0.638095238095238,0.278926754073829,0.71,0.7928571428571428,0.5166666666666667,0.6985214569058781,0.7
CatBoost,credit-g,4,800,200,20,123.74123715800032,0.0022558179998668,123.7434929760002,121.85513968400028,245.59863266000048,88659.59547809692,0.0112790899993342,2573.3203125,-0.03515625,210.93603515625,,0.7778571428571429,0.8789350815553063,0.6567545795243599,0.1674211008858843,0.5062674593797144,0.9214285714285714,0.3666666666666666,0.7724550898203593,0.0468548826949031,0.066177628124006,0.2307870649559051,0.8778556001606723,0.3666666666666666,0.8142857142857143,0.3666666666666666,0.6666666666666666,0.7724550898203593,0.3666666666666666,0.9214285714285714,0.4731182795698925,0.8403908794788274,0.644047619047619,0.3556808780183845,0.835,0.9214285714285714,0.6333333333333333,0.730209099506147,0.755
MLP,credit-g,4,800,200,20,13.45999432500048,0.0031318920000558,13.463126217000536,13.30254989900004,26.765676116000577,63859.14205767432,0.015659460000279,2573.3671875,0.046875,210.93603515625,,0.7635714285714286,0.8759666236487471,0.6904761904761905,0.185489535331726,0.5793547630310059,0.8142857142857143,0.5666666666666667,0.8142857142857143,0.0921166038326918,0.1165332699939608,0.572494717935721,0.8751678513311677,0.2166666666666666,0.7,0.2166666666666666,0.5666666666666667,0.8142857142857143,0.5666666666666667,0.8142857142857143,0.5666666666666667,0.8142857142857143,0.6904761904761905,0.3809523809523809,0.7,0.8142857142857143,0.4333333333333333,0.74,0.74
SAP-RPT-1,credit-g,4,800,200,20,3.573707184000341,0.6226873759997034,4.196394560000044,0.0,4.196394560000044,321.1884605139431,3.113436879998517,3012.9765625,439.609375,595.490234375,,0.7756547619047619,0.889175770178499,0.6618927625913049,0.1691180169582367,0.5037455558776855,0.8571428571428571,0.45,0.7843137254901961,0.0464180330187082,0.0706589895486831,0.4518812298774719,0.8886198073916475,0.3333333333333333,0.75,0.3333333333333333,0.574468085106383,0.7843137254901961,0.45,0.8571428571428571,0.5046728971962616,0.8191126279863481,0.6535714285714286,0.3319597421337724,0.765,0.8571428571428571,0.55,0.7247807087493221,0.735
SAP-RPT-1,diabetes,0,614,154,8,2.8612100889995418,0.2406727799998407,3.1018828689993825,0.0,3.1018828689993825,639.8729401813906,1.5628102597392253,2942.84375,5.921875,595.490234375,,0.8261111111111111,0.6840474744347743,0.7038461538461538,0.1646533608436584,0.4895507097244262,0.5555555555555556,0.84,0.6521739130434783,0.0750283402959247,0.0926052191621297,0.2802633312013414,0.6790990631977211,0.3,0.8518518518518519,0.3,0.7777777777777778,0.6521739130434783,0.84,0.5555555555555556,0.8076923076923077,0.6,0.6977777777777778,0.4123951744684367,0.2987012987012987,0.5555555555555556,0.16,0.7348651348651349,0.7402597402597403
TabPFN,diabetes,1,614,154,8,1.003551356000571,0.7906019560005006,1.7941533120010718,0.0,1.7941533120010718,194.7882858578637,5.133778935068186,2941.8125,0.0078125,210.93603515625,,0.8248148148148149,0.6970900082394251,0.6742307692307692,0.1682317107915878,0.4985732436180115,0.5185185185185185,0.82,0.6086956521739131,0.1086807199693345,0.0999465837300597,0.4057502945264181,0.6927395158344438,0.28,0.8518518518518519,0.28,0.7592592592592593,0.6086956521739131,0.82,0.5185185185185185,0.7884615384615384,0.56,0.6692592592592592,0.3529299526817895,0.2987012987012987,0.5185185185185185,0.18,0.7083516483516483,0.7142857142857143
XGBoost,diabetes,1,614,154,8,5.704372642000635,0.0029187469999669,5.707291389000602,5.629566150000755,11.336857539001358,52762.34878850204,0.0189529025971881,2941.8125,0.0,210.93603515625,,0.8275925925925925,0.7198212952213933,0.7038461538461538,0.1609612554311752,0.483637124300003,0.5555555555555556,0.84,0.6521739130434783,0.0512649907500712,0.0525222033649296,0.1709800601005554,0.7164147135478449,0.31,0.8518518518518519,0.31,0.7777777777777778,0.6521739130434783,0.84,0.5555555555555556,0.8076923076923077,0.6,0.6977777777777778,0.4123951744684367,0.2987012987012987,0.5555555555555556,0.16,0.7348651348651349,0.7402597402597403
LightGBM,diabetes,1,614,154,8,230.13011274899964,0.0023939200000313,230.13250666899967,229.95840530799973,460.09091197699945,64329.60820260267,0.0155449350651386,2941.8125,0.0,210.93603515625,,0.8238888888888889,0.6492285434867384,0.6973270440251573,0.1630937410297187,0.4920715528097631,0.5185185185185185,0.86,0.6666666666666666,0.0925537108608675,0.1060578720154215,0.5536191505813843,0.6407122649301038,0.3,0.8518518518518519,0.3,0.7678571428571429,0.6666666666666666,0.86,0.5185185185185185,0.8113207547169812,0.5833333333333334,0.6892592592592592,0.4055555555555555,0.2727272727272727,0.5185185185185185,0.14,0.7313771134525852,0.7402597402597403
CatBoost,diabetes,1,614,154,8,127.45406873400044,0.0015746750004836,127.45564340900091,125.33596973400016,252.7916131430011,97797.89617209874,0.0102251623408032,2942.9453125,1.1328125,210.93603515625,,0.8164814814814815,0.66597171413846,0.6879663948603905,0.1676163227448374,0.4985715907551718,0.5,0.86,0.6585365853658537,0.0549223412247962,0.0954907034699909,0.6145579897619188,0.6583529350336108,0.32,0.8518518518518519,0.32,0.7610619469026548,0.6585365853658537,0.86,0.5,0.8075117370892019,0.5684210526315789,0.6799999999999999,0.3886585540248189,0.2662337662337662,0.5,0.14,0.7236747438378277,0.7337662337662337
MLP,diabetes,1,614,154,8,13.890639883000404,0.0042891399998552,13.89492902300026,13.725957820000076,27.62088684300033,35904.625193062464,0.0278515584406185,2943.05859375,0.11328125,210.93603515625,,0.8029629629629629,0.6709886645256785,0.6893267651888342,0.1740171611309051,0.5113157033920288,0.5740740740740741,0.8,0.6078431372549019,0.0665611309277546,0.0780241702767935,0.2897297839323679,0.6663152734460087,0.39,0.8888888888888888,0.39,0.7766990291262136,0.6078431372549019,0.8,0.5740740740740741,0.7881773399014779,0.5904761904761905,0.6870370370370371,0.3792720063904721,0.3311688311688311,0.5740740740740741,0.2,0.7188535602328706,0.7207792207792207
SAP-RPT-1,diabetes,1,614,154,8,3.1508991740001875,0.2321827519999715,3.383081926000159,0.0,3.383081926000159,663.2706263071094,1.5076802077920228,2972.15234375,29.09375,595.490234375,,0.8261111111111111,0.6840474744347743,0.7038461538461538,0.1646533608436584,0.4895507097244262,0.5555555555555556,0.84,0.6521739130434783,0.0750283402959247,0.0926052191621297,0.2802633312013414,0.6790990631977211,0.3,0.8518518518518519,0.3,0.7777777777777778,0.6521739130434783,0.84,0.5555555555555556,0.8076923076923077,0.6,0.6977777777777778,0.4123951744684367,0.2987012987012987,0.5555555555555556,0.16,0.7348651348651349,0.7402597402597403
TabPFN,diabetes,2,614,154,8,0.6697732029997496,0.7665000469996812,1.4362732499994308,0.0,1.4362732499994308,200.9132294275656,4.977273032465463,2971.05078125,0.0,210.93603515625,,0.8248148148148149,0.6970900082394251,0.6742307692307692,0.1682317107915878,0.4985732436180115,0.5185185185185185,0.82,0.6086956521739131,0.1086807199693345,0.0999465837300597,0.4057502945264181,0.6927395158344438,0.28,0.8518518518518519,0.28,0.7592592592592593,0.6086956521739131,0.82,0.5185185185185185,0.7884615384615384,0.56,0.6692592592592592,0.3529299526817895,0.2987012987012987,0.5185185185185185,0.18,0.7083516483516483,0.7142857142857143
XGBoost,diabetes,2,614,154,8,6.994258495999929,0.0028572429991982,6.997115738999128,6.930797775999963,13.92791351499909,53898.0920226677,0.0185535259688195,2971.05078125,0.0,210.93603515625,,0.8207407407407408,0.7099743190111777,0.6915033957101675,0.1663138717412948,0.5003826022148132,0.5185185185185185,0.85,0.6511627906976745,0.078147425667032,0.0728398458427422,0.2539490461349487,0.7065732344577872,0.3,0.8518518518518519,0.3,0.7657657657657657,0.6511627906976745,0.85,0.5185185185185185,0.8056872037914692,0.5773195876288659,0.6842592592592592,0.3919769048757483,0.2792207792207792,0.5185185185185185,0.15,0.7256102474747123,0.7337662337662337
LightGBM,diabetes,2,614,154,8,166.2634363549996,0.0024403659999734,166.2658767209996,166.17013743900043,332.43601416,63105.26244686814,0.0158465324673599,2971.05078125,0.0,210.93603515625,,0.8261111111111112,0.6712391994837003,0.7241704374057315,0.1659192699118216,0.5082660764396499,0.6111111111111112,0.83,0.66,0.0733726151852053,0.105291180009674,0.3409218741042656,0.6590534666795592,0.27,0.8148148148148148,0.27,0.7980769230769231,0.66,0.83,0.6111111111111112,0.8137254901960784,0.6346153846153846,0.7205555555555556,0.4495139825554045,0.3246753246753247,0.6111111111111112,0.17,0.7509206479794716,0.7532467532467533
CatBoost,diabetes,2,614,154,8,122.88102323299972,0.0014897830005793,122.8825130160003,121.35937504000049,244.2418880560008,103370.6899390204,0.0096739155881775,2970.6796875,-0.37109375,210.93603515625,,0.8092592592592593,0.654640307053195,0.7006802721088435,0.1697165553533857,0.5038147591000685,0.5370370370370371,0.85,0.6590909090909091,0.049415292650703,0.0679153466029255,0.613915975870828,0.6478935078775443,0.27,0.7592592592592593,0.27,0.7727272727272727,0.6590909090909091,0.85,0.5370370370370371,0.8095238095238095,0.5918367346938775,0.6935185185185185,0.4088149087663384,0.2857142857142857,0.5370370370370371,0.15,0.7331919780899372,0.7402597402597403
MLP,diabetes,2,614,154,8,4.637012881999908,0.0023038709996399,4.639316752999548,4.558520194000266,9.197836946999814,66843.99134329933,0.014960201296363,2970.6796875,0.0,210.93603515625,,0.807962962962963,0.6882636766659824,0.6857142857142857,0.1716018766164779,0.5034137964248657,0.5185185185185185,0.84,0.6363636363636364,0.0650993397144915,0.0802181439788697,0.1894454393121931,0.6844259768877219,0.44,0.925925925925926,0.44,0.7636363636363637,0.6363636363636364,0.84,0.5185185185185185,0.8,0.5714285714285714,0.6792592592592592,0.378691704962503,0.2857142857142857,0.5185185185185185,0.16,0.7198515769944341,0.7272727272727273
SAP-RPT-1,diabetes,2,614,154,8,2.9578607519997604,0.2309111020003911,3.1887718540001515,0.0,3.1887718540001515,666.9233224343446,1.49942274026228,2970.6328125,-0.046875,595.490234375,,0.8261111111111111,0.6840474744347743,0.7038461538461538,0.1646533608436584,0.4895507097244262,0.5555555555555556,0.84,0.6521739130434783,0.0750283402959247,0.0926052191621297,0.2802633312013414,0.6790990631977211,0.3,0.8518518518518519,0.3,0.7777777777777778,0.6521739130434783,0.84,0.5555555555555556,0.8076923076923077,0.6,0.6977777777777778,0.4123951744684367,0.2987012987012987,0.5555555555555556,0.16,0.7348651348651349,0.7402597402597403
TabPFN,diabetes,3,614,154,8,0.6617018280003322,0.7496512580000854,1.4113530860004175,0.0,1.4113530860004175,205.42885528587163,4.867865311688867,2970.45703125,0.0,210.93603515625,,0.8248148148148149,0.6970900082394251,0.6742307692307692,0.1682317107915878,0.4985732436180115,0.5185185185185185,0.82,0.6086956521739131,0.1086807199693345,0.0999465837300597,0.4057502945264181,0.6927395158344438,0.28,0.8518518518518519,0.28,0.7592592592592593,0.6086956521739131,0.82,0.5185185185185185,0.7884615384615384,0.56,0.6692592592592592,0.3529299526817895,0.2987012987012987,0.5185185185185185,0.18,0.7083516483516483,0.7142857142857143
XGBoost,diabetes,3,614,154,8,5.026453767000021,0.0028656630001933,5.029319430000214,4.9921951460000855,10.0215145760003,53739.72663564594,0.0186082012999565,2970.45703125,0.0,210.93603515625,,0.8109259259259259,0.6973094512210425,0.6818181818181819,0.1745874285697937,0.5251816511154175,0.4444444444444444,0.9,0.7058823529411765,0.0866931742661959,0.0799255174669352,0.3269094228744507,0.6936644073655474,0.24,0.7777777777777778,0.24,0.75,0.7058823529411765,0.9,0.4444444444444444,0.8181818181818182,0.5454545454545454,0.6722222222222223,0.396265244237808,0.2207792207792207,0.4444444444444444,0.1,0.7225501770956317,0.7402597402597403
LightGBM,diabetes,3,614,154,8,291.24020610299976,0.0025073259994314,291.2427134289992,291.0314216929992,582.2741351219984,61419.9903063773,0.016281337658646,2970.46484375,0.0078125,210.93603515625,,0.8187037037037036,0.684108701909379,0.7326765188834155,0.1840960118626552,0.6078357026369845,0.6296296296296297,0.83,0.6666666666666666,0.1496981527204446,0.159359037089654,0.5080203240867515,0.6789743133052848,0.31,0.8703703703703703,0.31,0.8058252427184466,0.6666666666666666,0.83,0.6296296296296297,0.8177339901477833,0.6476190476190476,0.7298148148148148,0.4660163959708672,0.3311688311688311,0.6296296296296297,0.17,0.7580832960143304,0.7597402597402597
CatBoost,diabetes,3,614,154,8,121.9694637849998,0.0014511569997921,121.97091494199958,120.7196556050003,242.69057054699988,106122.14522612824,0.0094230974012477,2970.6796875,0.21484375,210.93603515625,,0.8164814814814815,0.6560120134752514,0.7156462585034014,0.1675425267775558,0.4988999379507709,0.5555555555555556,0.86,0.6818181818181818,0.0679788172339492,0.0746872427047072,0.2982761498647679,0.6433913806389194,0.35,0.8703703703703703,0.35,0.7818181818181819,0.6818181818181818,0.86,0.5555555555555556,0.819047619047619,0.6122448979591837,0.7077777777777778,0.4389381125701739,0.2857142857142857,0.5555555555555556,0.14,0.7465323791854404,0.7532467532467533
MLP,diabetes,3,614,154,8,17.046935821999796,0.0031500439999945,17.05008586599979,16.808138164999946,33.858224030999736,48888.19048625266,0.0204548311687956,2970.69921875,0.01953125,210.93603515625,,0.8150000000000001,0.6822550612027054,0.7005555555555556,0.1729874312877655,0.5176569819450378,0.6111111111111112,0.79,0.6111111111111112,0.0869607219061294,0.1118784715941587,0.3773096799850464,0.6770981308011536,0.29,0.8333333333333334,0.29,0.79,0.6111111111111112,0.79,0.6111111111111112,0.79,0.6111111111111112,0.7005555555555556,0.4011111111111111,0.3506493506493506,0.6111111111111112,0.21,0.7272727272727273,0.7272727272727273
SAP-RPT-1,diabetes,3,614,154,8,2.8024721879992285,0.224785743999746,3.0272579319989745,0.0,3.0272579319989745,685.0968240898638,1.459647688310039,2941.53515625,-29.1640625,595.490234375,,0.8261111111111111,0.6840474744347743,0.7038461538461538,0.1646533608436584,0.4895507097244262,0.5555555555555556,0.84,0.6521739130434783,0.0750283402959247,0.0926052191621297,0.2802633312013414,0.6790990631977211,0.3,0.8518518518518519,0.3,0.7777777777777778,0.6521739130434783,0.84,0.5555555555555556,0.8076923076923077,0.6,0.6977777777777778,0.4123951744684367,0.2987012987012987,0.5555555555555556,0.16,0.7348651348651349,0.7402597402597403
TabPFN,diabetes,4,614,154,8,0.6607529190005152,0.7697278010000446,1.4304807200005598,0.0,1.4304807200005598,200.0707257810484,4.998232474026263,2941.44921875,0.0,210.93603515625,,0.8248148148148149,0.6970900082394251,0.6742307692307692,0.1682317107915878,0.4985732436180115,0.5185185185185185,0.82,0.6086956521739131,0.1086807199693345,0.0999465837300597,0.4057502945264181,0.6927395158344438,0.28,0.8518518518518519,0.28,0.7592592592592593,0.6086956521739131,0.82,0.5185185185185185,0.7884615384615384,0.56,0.6692592592592592,0.3529299526817895,0.2987012987012987,0.5185185185185185,0.18,0.7083516483516483,0.7142857142857143
XGBoost,diabetes,4,614,154,8,7.06918122299976,0.0027443879998827,7.071925610999642,7.02071216999957,14.092637780999212,56114.49397537288,0.0178207012979399,2941.44921875,0.0,210.93603515625,,0.8272222222222222,0.705273229224755,0.7334615384615384,0.1605128347873687,0.4824424982070923,0.5925925925925926,0.86,0.6956521739130435,0.0738812678965268,0.0714440496710987,0.2662820030342449,0.7010398258099799,0.29,0.8518518518518519,0.29,0.7962962962962963,0.6956521739130435,0.86,0.5925925925925926,0.8269230769230769,0.64,0.7262962962962962,0.4718603962550839,0.2987012987012987,0.5925925925925926,0.14,0.7613786213786214,0.7662337662337663
LightGBM,diabetes,4,614,154,8,132.77113835900036,0.0027328400001351,132.7738711990005,132.64722461900055,265.42109581800105,56351.61357443853,0.0177457142865921,2941.57421875,0.125,210.93603515625,,0.7859259259259259,0.6493483045968965,0.7005555555555556,0.2287198962519718,1.1943357101877368,0.6111111111111112,0.79,0.6111111111111112,0.2230867442536822,0.2247370657955257,0.5121455676378875,0.6436333915498994,0.25,0.7777777777777778,0.25,0.79,0.6111111111111112,0.79,0.6111111111111112,0.79,0.6111111111111112,0.7005555555555556,0.4011111111111111,0.3506493506493506,0.6111111111111112,0.21,0.7272727272727273,0.7272727272727273
CatBoost,diabetes,4,614,154,8,122.92434235200017,0.0014582670000891,122.92580061900026,122.05330151500038,244.97910213400064,105604.73108549988,0.0094692662343448,2942.26953125,0.6953125,210.93603515625,,0.8062962962962963,0.6889177012079987,0.6979958865451763,0.1695184798436895,0.5052971288697329,0.5555555555555556,0.83,0.6382978723404256,0.0717950629524428,0.0738039978154687,0.2110523681641598,0.6849452359301649,0.37,0.8518518518518519,0.37,0.7757009345794392,0.6382978723404256,0.83,0.5555555555555556,0.8019323671497585,0.594059405940594,0.6927777777777777,0.399524141950553,0.3051948051948052,0.5555555555555556,0.17,0.7290418482842073,0.7337662337662337
